iter	RMSE
0	1.910214131
1	1.902682274
2	1.894747971
3	1.886873074
4	1.878902447
5	1.87113619
6	1.863296654
7	1.855442911
8	1.847669683
9	1.84015939
10	1.83256619
11	1.824913963
12	1.817227918
13	1.809857068
14	1.802837771
15	1.795105129
16	1.787555512
17	1.779881657
18	1.772513857
19	1.765266853
20	1.758083696
21	1.750772322
22	1.743170001
23	1.73619416
24	1.728778913
25	1.721621301
26	1.714614614
27	1.707400297
28	1.700927695
29	1.694137185
30	1.687097944
31	1.680300254
32	1.673057944
33	1.666022743
34	1.658960204
35	1.652387163
36	1.645390084
37	1.638383026
38	1.631955988
39	1.625086123
40	1.618177228
41	1.611456003
42	1.604698184
43	1.598778048
44	1.592278969
45	1.585658241
46	1.578999204
47	1.572519932
48	1.566489707
49	1.559826826
50	1.55313474
51	1.546872886
52	1.540746267
53	1.534361069
54	1.527964074
55	1.521437088
56	1.514932639
57	1.508503333
58	1.502140792
59	1.496071513
60	1.490146769
61	1.484540684
62	1.478525021
63	1.472390359
64	1.466664467
65	1.460487827
66	1.454467121
67	1.448443287
68	1.443060244
69	1.437829554
70	1.431984179
71	1.426652889
72	1.42068122
73	1.415121408
74	1.409206207
75	1.404101387
76	1.398656933
77	1.393012039
78	1.387265402
79	1.381779062
80	1.376335303
81	1.370495992
82	1.365554069
83	1.359896547
84	1.354200342
85	1.348531602
86	1.342982705
87	1.337541556
88	1.332062299
89	1.326424868
90	1.320881426
91	1.315592054
92	1.310753673
93	1.305437129
94	1.300120266
95	1.294898034
96	1.290047576
97	1.285137863
98	1.279750798
99	1.274490353
100	1.269140093
101	1.264018369
102	1.258868345
103	1.253661483
104	1.248322719
105	1.243896603
106	1.238860235
107	1.233715728
108	1.228657967
109	1.22395007
110	1.219070601
111	1.214101636
112	1.209658916
113	1.205209934
114	1.200709944
115	1.195648003
116	1.190854273
117	1.186805421
118	1.181865647
119	1.177850257
120	1.173426169
121	1.168529009
122	1.164486813
123	1.159785809
124	1.155152379
125	1.150384402
126	1.146161631
127	1.141842867
128	1.137748458
129	1.133076323
130	1.128909982
131	1.124298656
132	1.120516484
133	1.115894672
134	1.111659442
135	1.107497932
136	1.103609809
137	1.09983963
138	1.095599397
139	1.091520667
140	1.0870459
141	1.083186533
142	1.07878124
143	1.074451424
144	1.07011425
145	1.066454096
146	1.062596279
147	1.058423836
148	1.054593072
149	1.050660949
150	1.046364345
151	1.042843851
152	1.038727288
153	1.034901746
154	1.03073871
155	1.026552486
156	1.022371591
157	1.018380316
158	1.014573033
159	1.011155868
160	1.00745092
161	1.003357465
162	1.000050851
163	0.9959794636
164	0.9923730267
165	0.988445036
166	0.985107772
167	0.9811370229
168	0.9778742272
169	0.9740690071
170	0.9705325075
171	0.9672619079
172	0.9633853345
173	0.9600843174
174	0.9565971351
175	0.953212073
176	0.9495488306
177	0.9457114043
178	0.9419197542
179	0.9383105254
180	0.9346591131
181	0.9310018478
182	0.9273185762
183	0.9236174909
184	0.9205831964
185	0.9175950425
186	0.9142927883
187	0.9113738094
188	0.9080670959
189	0.9046472042
190	0.901166289
191	0.8981834271
192	0.8947275135
193	0.891182178
194	0.8876820737
195	0.8843823998
196	0.8809394772
197	0.8775650194
198	0.8742434627
199	0.8708978218
200	0.8675659413
201	0.8643111627
202	0.8616025868
203	0.8583477308
204	0.8551436451
205	0.852179762
206	0.8488554613
207	0.8457102262
208	0.8424409221
209	0.8396993194
210	0.8364771228
211	0.8335915204
212	0.8304426199
213	0.8273462391
214	0.8243251244
215	0.8215321956
216	0.8188100299
217	0.8158736345
218	0.8129343752
219	0.809909616
220	0.8068538935
221	0.803812298
222	0.8007480366
223	0.7979238772
224	0.794838563
225	0.7918849102
226	0.789022092
227	0.7862404123
228	0.7833154042
229	0.7803087087
230	0.7774477768
231	0.7748536334
232	0.7719364737
233	0.7691457894
234	0.7662185814
235	0.763785721
236	0.7610005811
237	0.7582015694
238	0.7556629539
239	0.7535821713
240	0.7512062855
241	0.748375425
242	0.7455803681
243	0.7428787058
244	0.7402277301
245	0.7374970349
246	0.7350946008
247	0.7323647277
248	0.7297675395
249	0.727154868
250	0.7246243216
251	0.722067251
252	0.7195393762
253	0.7169581656
254	0.7142967395
255	0.7119846468
256	0.7093583937
257	0.7067335603
258	0.7045004535
259	0.701974766
260	0.6994010076
261	0.6968452569
262	0.6944721682
263	0.6920683034
264	0.6895588523
265	0.6870113327
266	0.6844786821
267	0.6822010987
268	0.6797812348
269	0.6773220516
270	0.67527632
271	0.6728343136
272	0.6710055178
273	0.6691041242
274	0.6668115472
275	0.6645023476
276	0.6621453271
277	0.65980496
278	0.6574863087
279	0.6551512803
280	0.6528695805
281	0.6505995773
282	0.6482677564
283	0.6460213882
284	0.6441773132
285	0.641922243
286	0.639734419
287	0.6376669851
288	0.6354098508
289	0.6331254394
290	0.6309416778
291	0.628870902
292	0.6266696811
293	0.6246060509
294	0.6225876338
295	0.6204218161
296	0.6182656953
297	0.616295155
298	0.6141789038
299	0.6122957752
300	0.6101815903
301	0.608176289
302	0.606481581
303	0.6044227457
304	0.6024927381
305	0.6006034872
306	0.5987970016
307	0.5967680089
308	0.5947596884
309	0.5927749853
310	0.5907478693
311	0.5887637041
312	0.5868849699
313	0.5851256831
314	0.5832097576
315	0.5813480815
316	0.5795833104
317	0.577841731
318	0.5759473519
319	0.5740409045
320	0.5721402381
321	0.5701992866
322	0.5683269017
323	0.56651779
324	0.5646226333
325	0.563004275
326	0.5611216433
327	0.5592845791
328	0.5574575906
329	0.5557294451
330	0.5540387914
331	0.5522773621
332	0.5504951801
333	0.5487326123
334	0.547021237
335	0.5452418955
336	0.5435252027
337	0.5419631707
338	0.5402287162
339	0.5385265535
340	0.5369399066
341	0.5352806473
342	0.5336739048
343	0.5320220157
344	0.5303436882
345	0.5286805936
346	0.5271117318
347	0.5255404049
348	0.5239489693
349	0.5223091484
350	0.5207831619
351	0.5192735062
352	0.5177079128
353	0.5161976297
354	0.5146236408
355	0.5130371771
356	0.5115759329
357	0.5099536477
358	0.5086424824
359	0.5074014912
360	0.5058304699
361	0.504262534
362	0.502803526
363	0.5017278152
364	0.5002543213
365	0.4987601557
366	0.4972871538
367	0.4958061904
368	0.4947574735
369	0.4933466172
370	0.4920914507
371	0.4906829899
372	0.4892428008
373	0.4877804006
374	0.4863522649
375	0.4849715669
376	0.4835968432
377	0.4821638304
378	0.4812191254
379	0.4798207432
380	0.4788208637
381	0.4774461079
382	0.4760786339
383	0.4748022627
384	0.4734850016
385	0.4721474496
386	0.4707775848
387	0.4697084516
388	0.4683870158
389	0.4671074797
390	0.4658441703
391	0.4646049461
392	0.4632579097
393	0.4619589548
394	0.4607205437
395	0.4595731857
396	0.4582875973
397	0.4569905597
398	0.4557402579
399	0.4545327776
400	0.4532979796
401	0.4521361385
402	0.4512100809
403	0.4499439995
404	0.4487859861
405	0.4475986317
406	0.4467866954
407	0.4455971174
408	0.4443722635
409	0.4431843406
410	0.4422684039
411	0.4410560372
412	0.4399068692
413	0.4390744492
414	0.4379998296
415	0.4368905891
416	0.4358273247
417	0.434792181
418	0.4336800981
419	0.432681214
420	0.4315162414
421	0.4304569638
422	0.429523653
423	0.4284785658
424	0.4274033147
425	0.42642875
426	0.4254872618
427	0.4244233343
428	0.4234202301
429	0.422388133
430	0.42144396
431	0.4203835575
432	0.4195010874
433	0.4184017654
434	0.4173052827
435	0.416222542
436	0.4151704414
437	0.4144778592
438	0.4134723808
439	0.4127123448
440	0.4120610829
441	0.4111027125
442	0.4101579825
443	0.4094250757
444	0.4085532877
445	0.4075728518
446	0.4065484441
447	0.4056549068
448	0.4050000925
449	0.4040880582
450	0.4031610556
451	0.4022249642
452	0.4013777512
453	0.4004771667
454	0.3995022361
455	0.3985503889
456	0.397652537
457	0.3968913389
458	0.3960224532
459	0.395106149
460	0.3943010135
461	0.3933993453
462	0.3926051559
463	0.3918256856
464	0.390990476
465	0.3901858052
466	0.3894013744
467	0.3885343427
468	0.387676082
469	0.3868726593
470	0.3859811863
471	0.3850845883
472	0.384494413
473	0.3836686345
474	0.3828551253
475	0.3822104024
476	0.3814160118
477	0.380569306
478	0.3797648723
479	0.3789799091
480	0.3781714237
481	0.3773588933
482	0.3765680324
483	0.3758634196
484	0.3751058603
485	0.3743210586
486	0.3735252301
487	0.3728030723
488	0.3720625564
489	0.3712901586
490	0.3705639287
491	0.3698514014
492	0.3691398956
493	0.3683810409
494	0.3678414306
495	0.367139006
496	0.3665754189
497	0.3658311681
498	0.3651258802
499	0.3644485732
500	0.3637925252
501	0.3630981286
502	0.3623684154
503	0.3617670305
504	0.3612356199
505	0.3605046201
506	0.3597975909
507	0.3591085515
508	0.3584034906
509	0.3577089504
510	0.3571129123
511	0.3564777086
512	0.3557999016
513	0.3552421567
514	0.3545739043
515	0.3539172838
516	0.3535161771
517	0.3530983477
518	0.352698568
519	0.3520735166
520	0.3514490045
521	0.3508006112
522	0.3503791264
523	0.3497483644
524	0.3491285106
525	0.3485301667
526	0.348072813
527	0.3476286117
528	0.3469700579
529	0.3463711144
530	0.3457728132
531	0.3452287071
532	0.3448943226
533	0.3444706491
534	0.3439932119
535	0.343483339
536	0.3429200588
537	0.3423398944
538	0.3418874249
539	0.341494071
540	0.3409078851
541	0.3403545358
542	0.3397965892
543	0.3393017915
544	0.3387267358
545	0.3381582372
546	0.3376797825
547	0.3372364766
548	0.3367038152
549	0.336159659
550	0.3356325423
551	0.3352157487
552	0.334705594
553	0.3342184178
554	0.3336722686
555	0.3331331942
556	0.3326419011
557	0.3321696038
558	0.3317015123
559	0.3311773076
560	0.3306504223
561	0.3301807486
562	0.3296609879
563	0.3291760791
564	0.3286963469
565	0.3282964245
566	0.3278876646
567	0.3274247311
568	0.3269364838
569	0.3265316121
570	0.3260530162
571	0.325672207
572	0.3254275573
573	0.3249667455
574	0.3246174282
575	0.3241937558
576	0.3237349254
577	0.323252074
578	0.3228417233
579	0.3223949642
